external_family_id,external_family_name,external_family_group,row_count,post_axis_profile_coverage,post_architecture_axis_coverage,post_family_conflict_count,quarantined_count,dominant_failure_cohort
holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,5,1.0,0.0,0,2,safe_axis_claimed
holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,5,1.0,0.0,0,3,safe_axis_claimed
holdout_alpha_family_03,helical_enzyme_domain_proxy,alpha_rich_soluble,5,1.0,0.0,0,4,safe_axis_claimed
holdout_alpha_family_04,alpha_solenoid_fragment_proxy,alpha_rich_soluble,5,0.8,0.0,0,3,safe_axis_claimed
holdout_architecture_domain_fragment,single_domain_from_larger_proxy,architecture_stress,2,0.5,0.5,0,0,beta_rich_low_complexity_confusion
holdout_architecture_large_oligomer_like,large_chain_not_safely_multidomain_proxy,architecture_stress,2,0.0,0.0,0,0,alpha_beta_boundary_ambiguity
holdout_architecture_membrane_many_helices,many_helix_membrane_proxy,architecture_stress,2,1.0,0.0,0,0,safe_axis_claimed
holdout_architecture_repeat_like,repeat_architecture_proxy,architecture_stress,2,0.0,0.0,0,2,repeat_like_under_claimed
holdout_architecture_short_secondary_fragment,short_alpha_fragment_proxy,architecture_stress,2,1.0,1.0,0,0,safe_axis_claimed
holdout_beta_family_01,immunoglobulin_like_proxy,beta_rich,5,0.0,0.0,0,2,beta_rich_low_complexity_confusion
holdout_beta_family_02,jellyroll_like_proxy,beta_rich,5,0.2,0.0,0,3,beta_rich_low_complexity_confusion
holdout_beta_family_03,beta_sandwich_proxy,beta_rich,5,0.0,0.0,0,3,beta_rich_low_complexity_confusion
holdout_beta_family_04,barrel_edge_proxy,beta_rich,5,0.0,0.0,0,1,beta_rich_low_complexity_confusion
holdout_disorder_family_01,acidic_idr_proxy,disordered_or_mixed_order,5,1.0,0.0,0,0,safe_axis_claimed
holdout_disorder_family_02,basic_low_complexity_proxy,disordered_or_mixed_order,5,1.0,0.0,0,0,safe_axis_claimed
holdout_disorder_family_03,mixed_order_linker_proxy,disordered_or_mixed_order,5,1.0,0.0,0,0,safe_axis_claimed
holdout_membrane_family_01,multi_pass_helix_proxy,membrane_like,5,1.0,0.0,0,0,safe_axis_claimed
holdout_membrane_family_02,transporter_helix_bundle_proxy,membrane_like,5,1.0,0.0,0,0,safe_axis_claimed
holdout_membrane_family_03,receptor_helix_bundle_proxy,membrane_like,5,1.0,0.0,0,0,safe_axis_claimed
holdout_mixed_family_01,rossmann_like_proxy,alpha_beta_mixed,5,0.0,0.0,0,4,alpha_beta_boundary_ambiguity
holdout_mixed_family_02,ferredoxin_like_proxy,alpha_beta_mixed,5,0.0,0.0,0,3,alpha_beta_boundary_ambiguity
holdout_mixed_family_03,tim_edge_proxy,alpha_beta_mixed,5,0.0,0.0,0,2,alpha_beta_boundary_ambiguity
holdout_mixed_family_04,nucleotide_binding_proxy,alpha_beta_mixed,5,0.0,0.0,0,4,alpha_beta_boundary_ambiguity
