protein_id,sequence_length,topology_evidence_vector_kind,motif_signal_seen,alpha_periodicity_evidence,beta_alternation_evidence,compact_core_evidence,disorder_run_evidence,domain_boundary_evidence,long_range_closure_evidence,breaker_turn_evidence,charge_frustration_evidence,local_alpha_pressure_evidence,local_beta_pressure_evidence,local_disorder_pressure_evidence,mixed_motif_evidence,motif_evidence,predicted_topology_signature,dominant_features,conflicting_features,evidence_conflict_score,confidence,uncertainty_radius,claim_strength,forced_prediction,abstained,predicted_fold_class,raw_predicted_fold_class,structure_fold_class,label_fold_class,prediction_vs_structure_score,prediction_vs_label_score,prediction_structure_class_match,prediction_label_class_match,high_confidence_wrong,likely_failure_reason,folding_problem_solved,folding_solution_claim_created
pdb_1MBN_A_myoglobin,153,order_aware_motif_evidence_vector,True,0.446154,0.535147,0.542805,0.026144,0.424569,0.550041,0.340265,0.24376,0.620902,0.450731,0.29482,0.561951,"{""alpha_periodicity_evidence"":0.446154,""beta_alternation_evidence"":0.535147,""breaker_turn_evidence"":0.340265,""charge_frustration_evidence"":0.24376,""compact_core_evidence"":0.542805,""disorder_run_evidence"":0.026144,""domain_boundary_evidence"":0.424569,""local_alpha_pressure_evidence"":0.620902,""local_beta_pressure_evidence"":0.450731,""local_disorder_pressure_evidence"":0.29482,""long_range_closure_evidence"":0.550041,""mixed_motif_evidence"":0.561951}","{""conformational_flexibility"":0.288478,""contact_map_closure"":0.472565,""domain_boundary_stability"":0.732706,""hydrophobic_core_closure"":0.542805,""knot_or_entanglement_signature"":0.357146,""long_range_contact_order"":0.550041,""loop_disorder_pressure"":0.26953,""secondary_structure_balance"":0.825198,""sequence_complexity"":0.90672,""uncertainty_radius"":0.817201}",local_alpha_pressure_evidence;mixed_motif_evidence;long_range_closure_evidence,compact_core_evidence;beta_alternation_evidence;local_beta_pressure_evidence;alpha_periodicity_evidence,0.99444,0.102321,0.817201,weak,False,True,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,alpha_rich,0.827781,0.842046,False,False,False,evidence_conflict_gated_prediction,False,False
pdb_2LZM_A_t4_lysozyme,164,order_aware_motif_evidence_vector,True,0.43662,0.522152,0.567987,0.02439,0.352892,0.543227,0.312365,0.206006,0.55709,0.513183,0.231596,0.644645,"{""alpha_periodicity_evidence"":0.43662,""beta_alternation_evidence"":0.522152,""breaker_turn_evidence"":0.312365,""charge_frustration_evidence"":0.206006,""compact_core_evidence"":0.567987,""disorder_run_evidence"":0.02439,""domain_boundary_evidence"":0.352892,""local_alpha_pressure_evidence"":0.55709,""local_beta_pressure_evidence"":0.513183,""local_disorder_pressure_evidence"":0.231596,""long_range_closure_evidence"":0.543227,""mixed_motif_evidence"":0.644645}","{""conformational_flexibility"":0.244642,""contact_map_closure"":0.498218,""domain_boundary_stability"":0.789174,""hydrophobic_core_closure"":0.567987,""knot_or_entanglement_signature"":0.329957,""long_range_contact_order"":0.543227,""loop_disorder_pressure"":0.227034,""secondary_structure_balance"":0.925139,""sequence_complexity"":0.948609,""uncertainty_radius"":0.766624}",mixed_motif_evidence;compact_core_evidence;local_alpha_pressure_evidence,long_range_closure_evidence;beta_alternation_evidence;local_beta_pressure_evidence;alpha_periodicity_evidence,0.914404,0.18713,0.766624,weak,False,True,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,alpha_rich,0.797362,0.863255,False,False,False,evidence_conflict_gated_prediction,False,False
pdb_1TEN_A_tenascin_fn3,90,order_aware_motif_evidence_vector,True,0.3,0.553571,0.418854,0.055556,0.340608,0.472271,0.3825,0.177299,0.359537,0.53257,0.384775,0.423774,"{""alpha_periodicity_evidence"":0.3,""beta_alternation_evidence"":0.553571,""breaker_turn_evidence"":0.3825,""charge_frustration_evidence"":0.177299,""compact_core_evidence"":0.418854,""disorder_run_evidence"":0.055556,""domain_boundary_evidence"":0.340608,""local_alpha_pressure_evidence"":0.359537,""local_beta_pressure_evidence"":0.53257,""local_disorder_pressure_evidence"":0.384775,""long_range_closure_evidence"":0.472271,""mixed_motif_evidence"":0.423774}","{""conformational_flexibility"":0.326368,""contact_map_closure"":0.361176,""domain_boundary_stability"":0.78573,""hydrophobic_core_closure"":0.418854,""knot_or_entanglement_signature"":0.296109,""long_range_contact_order"":0.472271,""loop_disorder_pressure"":0.3273,""secondary_structure_balance"":0.804062,""sequence_complexity"":0.906303,""uncertainty_radius"":0.655937}",beta_alternation_evidence;local_beta_pressure_evidence;long_range_closure_evidence,mixed_motif_evidence;compact_core_evidence;local_disorder_pressure_evidence;breaker_turn_evidence,0.714671,0.321124,0.655937,weak,True,False,beta_rich,beta_rich,beta_rich,beta_rich,0.69912,0.891548,True,True,False,,False,False
pdb_1CSP_A_cold_shock_protein,67,order_aware_motif_evidence_vector,True,0.269231,0.489071,0.466411,0.104478,0.268885,0.509459,0.459185,0.177187,0.397864,0.476968,0.541822,0.457196,"{""alpha_periodicity_evidence"":0.269231,""beta_alternation_evidence"":0.489071,""breaker_turn_evidence"":0.459185,""charge_frustration_evidence"":0.177187,""compact_core_evidence"":0.466411,""disorder_run_evidence"":0.104478,""domain_boundary_evidence"":0.268885,""local_alpha_pressure_evidence"":0.397864,""local_beta_pressure_evidence"":0.476968,""local_disorder_pressure_evidence"":0.541822,""long_range_closure_evidence"":0.509459,""mixed_motif_evidence"":0.457196}","{""conformational_flexibility"":0.41504,""contact_map_closure"":0.380088,""domain_boundary_stability"":0.840703,""hydrophobic_core_closure"":0.466411,""knot_or_entanglement_signature"":0.290145,""long_range_contact_order"":0.509459,""loop_disorder_pressure"":0.439798,""secondary_structure_balance"":0.836651,""sequence_complexity"":0.876794,""uncertainty_radius"":0.736168}",local_disorder_pressure_evidence;long_range_closure_evidence;beta_alternation_evidence,local_beta_pressure_evidence;compact_core_evidence;breaker_turn_evidence;mixed_motif_evidence,0.844748,0.19313,0.736168,weak,False,True,insufficient_topology_evidence,beta_rich,beta_rich,beta_rich,0.655479,0.895748,False,False,False,evidence_conflict_gated_prediction,False,False
pdb_1TIM_A_triosephosphate_isomerase,247,order_aware_motif_evidence_vector,True,0.398148,0.466113,0.485674,0.024291,0.476495,0.482671,0.454196,0.153531,0.47587,0.440207,0.402258,0.501583,"{""alpha_periodicity_evidence"":0.398148,""beta_alternation_evidence"":0.466113,""breaker_turn_evidence"":0.454196,""charge_frustration_evidence"":0.153531,""compact_core_evidence"":0.485674,""disorder_run_evidence"":0.024291,""domain_boundary_evidence"":0.476495,""local_alpha_pressure_evidence"":0.47587,""local_beta_pressure_evidence"":0.440207,""local_disorder_pressure_evidence"":0.402258,""long_range_closure_evidence"":0.482671,""mixed_motif_evidence"":0.501583}","{""conformational_flexibility"":0.354561,""contact_map_closure"":0.405539,""domain_boundary_stability"":0.699668,""hydrophobic_core_closure"":0.485674,""knot_or_entanglement_signature"":0.335257,""long_range_contact_order"":0.482671,""loop_disorder_pressure"":0.343385,""secondary_structure_balance"":0.9002,""sequence_complexity"":0.936758,""uncertainty_radius"":0.79803}",mixed_motif_evidence;compact_core_evidence;long_range_closure_evidence,domain_boundary_evidence;local_alpha_pressure_evidence;beta_alternation_evidence;breaker_turn_evidence,0.95725,0.120077,0.79803,weak,False,True,insufficient_topology_evidence,multidomain_boundary,alpha_beta_mixed,alpha_beta_mixed,0.871723,0.915484,False,False,False,evidence_conflict_gated_prediction,False,False
pdb_1PGA_A_protein_g_b1,56,order_aware_motif_evidence_vector,True,0.357143,0.5,0.553551,0.071429,0.348784,0.658058,0.285714,0.229723,0.470368,0.646852,0.219047,0.623845,"{""alpha_periodicity_evidence"":0.357143,""beta_alternation_evidence"":0.5,""breaker_turn_evidence"":0.285714,""charge_frustration_evidence"":0.229723,""compact_core_evidence"":0.553551,""disorder_run_evidence"":0.071429,""domain_boundary_evidence"":0.348784,""local_alpha_pressure_evidence"":0.470368,""local_beta_pressure_evidence"":0.646852,""local_disorder_pressure_evidence"":0.219047,""long_range_closure_evidence"":0.658058,""mixed_motif_evidence"":0.623845}","{""conformational_flexibility"":0.246159,""contact_map_closure"":0.525616,""domain_boundary_stability"":0.788234,""hydrophobic_core_closure"":0.553551,""knot_or_entanglement_signature"":0.375288,""long_range_contact_order"":0.658058,""loop_disorder_pressure"":0.230972,""secondary_structure_balance"":0.82989,""sequence_complexity"":0.829056,""uncertainty_radius"":0.757545}",long_range_closure_evidence;local_beta_pressure_evidence;mixed_motif_evidence,compact_core_evidence;beta_alternation_evidence;local_alpha_pressure_evidence;alpha_periodicity_evidence,0.903373,0.209359,0.757545,weak,False,True,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,alpha_beta_mixed,0.712279,0.87468,False,False,False,evidence_conflict_gated_prediction,False,False
pdb_4AKE_A_adenylate_kinase,214,order_aware_motif_evidence_vector,True,0.37931,0.519231,0.462937,0.03271,0.400537,0.441745,0.439808,0.192827,0.467143,0.429368,0.422383,0.482436,"{""alpha_periodicity_evidence"":0.37931,""beta_alternation_evidence"":0.519231,""breaker_turn_evidence"":0.439808,""charge_frustration_evidence"":0.192827,""compact_core_evidence"":0.462937,""disorder_run_evidence"":0.03271,""domain_boundary_evidence"":0.400537,""local_alpha_pressure_evidence"":0.467143,""local_beta_pressure_evidence"":0.429368,""local_disorder_pressure_evidence"":0.422383,""long_range_closure_evidence"":0.441745,""mixed_motif_evidence"":0.482436}","{""conformational_flexibility"":0.359337,""contact_map_closure"":0.376182,""domain_boundary_stability"":0.746635,""hydrophobic_core_closure"":0.462937,""knot_or_entanglement_signature"":0.303153,""long_range_contact_order"":0.441745,""loop_disorder_pressure"":0.35564,""secondary_structure_balance"":0.894258,""sequence_complexity"":0.927019,""uncertainty_radius"":0.802206}",beta_alternation_evidence;mixed_motif_evidence;local_alpha_pressure_evidence,compact_core_evidence;long_range_closure_evidence;breaker_turn_evidence;local_beta_pressure_evidence,0.962399,0.110007,0.802206,weak,False,True,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,multidomain_boundary,0.881219,0.919428,False,False,False,evidence_conflict_gated_prediction,False,False
pdb_1CLL_A_calmodulin,148,order_aware_motif_evidence_vector,True,0.435185,0.501174,0.516697,0.040541,0.432638,0.513299,0.2975,0.246108,0.556687,0.460035,0.266209,0.562253,"{""alpha_periodicity_evidence"":0.435185,""beta_alternation_evidence"":0.501174,""breaker_turn_evidence"":0.2975,""charge_frustration_evidence"":0.246108,""compact_core_evidence"":0.516697,""disorder_run_evidence"":0.040541,""domain_boundary_evidence"":0.432638,""local_alpha_pressure_evidence"":0.556687,""local_beta_pressure_evidence"":0.460035,""local_disorder_pressure_evidence"":0.266209,""long_range_closure_evidence"":0.513299,""mixed_motif_evidence"":0.562253}","{""conformational_flexibility"":0.269205,""contact_map_closure"":0.449808,""domain_boundary_stability"":0.724212,""hydrophobic_core_closure"":0.516697,""knot_or_entanglement_signature"":0.345725,""long_range_contact_order"":0.513299,""loop_disorder_pressure"":0.248664,""secondary_structure_balance"":0.880372,""sequence_complexity"":0.905044,""uncertainty_radius"":0.792243}",mixed_motif_evidence;local_alpha_pressure_evidence;compact_core_evidence,long_range_closure_evidence;beta_alternation_evidence;local_beta_pressure_evidence;alpha_periodicity_evidence,0.950644,0.135135,0.792243,weak,False,True,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,multidomain_boundary,0.778803,0.943522,False,False,False,evidence_conflict_gated_prediction,False,False
disprot_DP00070_alpha_synuclein,140,order_aware_motif_evidence_vector,True,0.361111,0.410448,0.417813,0.042857,0.235707,0.428002,0.50981,0.187925,0.430757,0.381897,0.544064,0.418615,"{""alpha_periodicity_evidence"":0.361111,""beta_alternation_evidence"":0.410448,""breaker_turn_evidence"":0.50981,""charge_frustration_evidence"":0.187925,""compact_core_evidence"":0.417813,""disorder_run_evidence"":0.042857,""domain_boundary_evidence"":0.235707,""local_alpha_pressure_evidence"":0.430757,""local_beta_pressure_evidence"":0.381897,""local_disorder_pressure_evidence"":0.544064,""long_range_closure_evidence"":0.428002,""mixed_motif_evidence"":0.418615}","{""conformational_flexibility"":0.415139,""contact_map_closure"":0.330114,""domain_boundary_stability"":0.857994,""hydrophobic_core_closure"":0.417813,""knot_or_entanglement_signature"":0.25119,""long_range_contact_order"":0.428002,""loop_disorder_pressure"":0.436404,""secondary_structure_balance"":0.863581,""sequence_complexity"":0.845116,""uncertainty_radius"":0.819192}",local_disorder_pressure_evidence;breaker_turn_evidence;local_alpha_pressure_evidence,long_range_closure_evidence;mixed_motif_evidence;compact_core_evidence;beta_alternation_evidence,0.986851,0.076428,0.819192,weak,False,True,insufficient_topology_evidence,beta_rich,disordered_flexible,disordered_flexible,0.69822,0.77322,False,False,False,evidence_conflict_gated_prediction,False,False
disprot_DP03552_fetal_tau,352,order_aware_motif_evidence_vector,True,0.25,0.416667,0.3243,0.042614,0.570625,0.434679,0.602271,0.189216,0.277877,0.297501,0.650202,0.245959,"{""alpha_periodicity_evidence"":0.25,""beta_alternation_evidence"":0.416667,""breaker_turn_evidence"":0.602271,""charge_frustration_evidence"":0.189216,""compact_core_evidence"":0.3243,""disorder_run_evidence"":0.042614,""domain_boundary_evidence"":0.570625,""local_alpha_pressure_evidence"":0.277877,""local_beta_pressure_evidence"":0.297501,""local_disorder_pressure_evidence"":0.650202,""long_range_closure_evidence"":0.434679,""mixed_motif_evidence"":0.245959}","{""conformational_flexibility"":0.510126,""contact_map_closure"":0.258055,""domain_boundary_stability"":0.614071,""hydrophobic_core_closure"":0.3243,""knot_or_entanglement_signature"":0.347659,""long_range_contact_order"":0.434679,""loop_disorder_pressure"":0.513291,""secondary_structure_balance"":0.864965,""sequence_complexity"":0.908396,""uncertainty_radius"":0.655268}",local_disorder_pressure_evidence;breaker_turn_evidence;domain_boundary_evidence,long_range_closure_evidence;beta_alternation_evidence,0.721756,0.339348,0.655268,weak,True,False,multidomain_boundary,multidomain_boundary,disordered_flexible,disordered_flexible,0.713827,0.788827,False,False,False,multidomain_signal_confused_with_local_segmentation,False,False
